,company,category,posts,followers,following,global_traffic_rank,monthly_rank_growth,visit_duration,visit_duration_growth,page_views_visit,page_views_visit_growth,bounce_rate,bounce_rate_growth,it_spend,software_spend,communications_spend,service_spend,other_hardware_spend,other_it_spend,country_1,share_of_monthly_visits_c1,monthly_visits_growth_c1,sites_rank_in_country_c1,monthly_rank_growth_c1,country_2,share_of_monthly_visits_c2,monthly_visits_growth_c2,sites_rank_in_country_c2,monthly_rank_growth_c2,country_3,share_of_monthly_visits_c3,monthly_visits_growth_c3,sites_rank_in_country_c3,monthly_rank_growth_c3,country_4,share_of_monthly_visits_c4,monthly_visits_growth_c4,sites_rank_in_country_c4,monthly_rank_growth_c4,country_5,share_of_monthly_visits_c5,monthly_visits_growth_c5,sites_rank_in_country_c5,monthly_rank_growth_c5
0,orchestral tools,a,635.0,21.8,176.0,386422.0,-0.15,472.0,0.34,2.62,-0.23,0.74,0.42,0.16,0.05,0.02,0.043.1,0.01,27.6,united states,0.59,5.41,133196.0,-0.71,uganda,0.05,,6368.0,,hungary,0.05,20.73,50782.0,-0.71,japan,0.05,0.13,218033.0,-0.13,germany,0.04,2.81,287840.0,-0.41
1,native instruments,a,3236.0,890.0,895.0,224.88,-0.04,477.0,0.08,3.33,0.04,0.55,0.04,1.2,0.22,0.15,0.45,0.15,283.6,united states,0.3,0.45,13668.0,-0.28,japan,0.09,0.36,10012.0,-0.28,united kingdom,0.06,-0.3,11374.0,0.36,germany,0.05,-0.22,12351.0,0.24,france,0.05,-0.06,9612.0,0.04
2,ableton,b,672.0,647.0,1376.0,28198.0,-0.01,445.0,0.04,3.04,-0.04,0.54,0.0,9.4,1.6,1.4,3.20,1.1,2.1,united states,0.33,0.1,15313.0,-0.1,japan,0.07,1.23,15384.0,-0.51,united kingdom,0.06,0.01,14680.0,-0.02,germany,0.05,-0.33,15788.0,0.43,france,0.04,0.17,15604.0,-0.15
3,waves,a,1830.0,540.0,986.0,49517.0,-0.06,442.0,-0.09,3.53,0.11,0.5,-12.22,,,,,,,united states,0.33,0.13,26871.0,-0.11,india,0.08,5.35,27393.0,-0.75,russia,0.04,0.68,27025.0,-0.43,united kingdom,0.04,-0.39,37388.0,0.49,japan,0.03,1.12,47234.0,0.51
4,universal audio,a,3220.0,621.0,859.0,48743.0,-0.74,437.0,0.2,3.97,0.2,0.54,,3.6,0.93,0.53,1.10,0.2,0.82,united states,0.36,-0.15,24264.0,0.12,united kingdom,0.1,0.69,14933.0,-0.36,germany,0.04,0.27,35242.0,-0.19,armenia,0.04,158.46,817.0,-0.98,canada,0.03,0.32,28430.0,-0.18
5,suno,b,84.0,19.7,0.0,818.0,-0.19,667.0,-0.01,3.49,-0.07,0.47,0.03,,,,,,,united states,0.21,0.84,849.0,-0.49,russian federation,0.07,0.5,37400.0,-0.42,brazil,0.06,0.34,574.0,-0.22,germany,0.05,0.22,624.0,-0.17,spain,0.04,-0.25,452.0,0.31
6,sound particles,a,954.0,3823.0,0.0,1715425.0,-0.22,777.0,3.74,4.18,1.98,0.65,-0.11,,,,,,,russia,0.31,,188181.0,,united states,0.15,-0.1,1094559.0,0.15,bulgaria,0.11,13.71,44760.0,-0.72,china,0.09,,203324.0,,japan,0.08,,428613.0,
7,arturia,a,1254.0,380.0,917.0,60473.0,-0.04,373.0,-0.21,2.87,-0.11,0.53,0.0,3.7,0.96,0.49,1.10,0.33,0.77,united states,0.28,0.15,36527.0,-0.12,united kingdom,0.11,0.45,17775.0,-0.27,spain,0.05,3.11,20405.0,-0.69,russia,0.05,-0.23,30533.0,0.09,france,0.05,-0.18,27833.0,0.15
8,good hertz,a,136.0,10.2,257.0,1514239.0,0.06,256.0,-0.49,3.2,-0.53,0.37,-0.2,,,,,,,united states,0.53,-0.13,459621.0,0.03,germany,0.09,0.83,388602.0,-0.24,indonesia,0.04,2.3,195530.0,-0.45,cambodia,0.04,,23378.0,,brazil,0.03,0.1,426855.0,-0.09
9,endel,b,402.0,179.0,359.0,187728.0,-0.39,254.0,0.64,2.55,0.29,0.4,-0.4,0.39,0.05,0.05,0.11,0.04,0.07,australia,0.63,111.12,5615.0,-0.97,united states,0.09,0.7,349102.0,-0.14,japan,0.04,-0.58,141617.0,0.74,mexico,0.04,14.01,55732.0,-0.7,venezuela,0.02,,23430.0,
